구분,적용부서,구매금액_하한,구매금액_상한,전결권자,비고
일반,전체,0,9999999,팀장,1000만원 미만
일반,전체,10000000,49999999,실장,1000만원 이상 5000만원 미만
일반,전체,50000000,99999999,본부장,5000만원 이상 1억 미만
일반,전체,100000000,999999999,대표이사,1억 이상
특례,AIR유닛,0,999999999,실장,금액 무관 실장 전결 (AI인프라 구매 시급성 반영)
특례,AIR유닛,0,999999999,실장,※ 과거 'AI 유닛'으로 표기된 조직과 동일함
특례,AIR유닛,0,999999999,실장,※ 팀장 전결 시 회계팀 반려 처리됨
부서별,마케팅팀,0,9999999,팀장,일반 규정 적용
부서별,마케팅팀,10000000,49999999,실장,일반 규정 적용
부서별,마케팅팀,50000000,99999999,본부장,일반 규정 적용
부서별,개발팀,0,9999999,팀장,일반 규정 적용
부서별,개발팀,10000000,49999999,실장,일반 규정 적용
부서별,영업팀,0,9999999,팀장,일반 규정 적용
부서별,영업팀,10000000,49999999,실장,일반 규정 적용
부서별,인사팀,0,4999999,팀장,일반 규정 적용
부서별,인사팀,5000000,49999999,실장,인사팀 특이사항: 5백만원 기준 적용
부서별,재무팀,0,9999999,팀장,일반 규정 적용
부서별,재무팀,10000000,999999999,CFO,재무팀은 CFO 직접 결재
